DATE,Median_Sale_Price_House,Personal_Income_Per_Capita,Property_Tax,Nasdaqcom,Construction_Employment_Cost,Population,New_House_Units_Construction,CPI,Mortage_Rate,Unemployment_Rate,Household_Debt_Payment,Recession_Rate,S&PCase_Schiller_Index
2010-01-01,222900.0,39782.0,7691.0,2280.55229508197,112.1,308901.666666667,495.333333333333,1.05456261,4.99583333333333,9.83333333333333,11.668216,0.04,146.295333333333
2016-10-01,310900.0,49504.0,8960.0,5309.89031746032,125.8,325557.333333333,1050.66666666667,2.54342123333333,3.84230769230769,4.76666666666667,10.127796,0.18,184.744
2003-10-01,198800.0,33168.0,5813.0,1934.07765625,93.5,291669.333333333,1158.66666666667,2.05797313333333,5.91928571428571,5.83333333333333,12.215487,0.08,138.834666666667
2017-01-01,313100.0,50168.0,9051.0,5736.32225806452,126.6,326052.666666667,1068,2.59645533333333,4.17307692307692,4.56666666666667,10.076657,0.13,187.371
2022-01-01,433100.0,64300.0,11361.0,14000.6198387097,146.1,332977.666666667,1588.33333333333,4.28471733333333,3.82230769230769,3.8,9.724234,0.13,291.174
2002-04-01,187200.0,31755.0,5082.0,1645.785,88.5,287574,1017.66666666667,3.39732956666667,6.81307692307692,5.83333333333333,12.362242,0.33,120.716
2009-10-01,219000.0,39344.0,7644.0,2162.9146875,111.7,308285,534.333333333333,1.40578336666667,4.92214285714286,9.93333333333333,11.958062,0.17,147.971
2002-10-01,190100.0,32037.0,5354.0,1341.83109375,90.1,289006.666666667,1030,2.86125436666667,6.07538461538462,5.86666666666667,12.340791,0.61,126.676333333333
2011-04-01,228100.0,42474.0,7467.0,2764.90174603175,113.6,311940.666666667,416,1.25866603333333,4.65076923076923,9.06666666666667,10.709228,0.13,139.925666666667
2013-10-01,273600.0,44674.0,7829.0,3957.07625,118.6,318072,688,1.87767086666667,4.29307692307692,6.93333333333333,10.169299,0.06,160.103333333333
2007-01-01,257400.0,39035.0,6868.0,2442.85180327869,104.7,300609.666666667,1205,3.13876453333333,6.21461538461538,4.5,13.009555,0.13,184.421666666667
2018-01-01,331800.0,52439.0,9486.0,7253.84852459016,129.7,328091,1111.66666666667,2.222466,4.28230769230769,4.03333333333333,9.973965,0.14,199.171
2017-07-01,320500.0,51193.0,9257.0,6343.13015873016,128.3,327140.333333333,1083.66666666667,2.11443266666667,3.88384615384615,4.33333333333333,10.032426,0.11,192.625333333333
2001-04-01,179000.0,31640.0,5067.0,2079.62698412698,86.1,284837.333333333,1011.66666666667,3.1323022,7.13,4.4,12.385827,33.4,112.204
2011-01-01,226900.0,42194.0,7537.0,2739.41935483871,112.8,311376,425,1.09000671,4.84692307692308,9.03333333333333,10.795679,0.15,140.617333333333
2012-04-01,238700.0,44062.0,7388.0,2926.48380952381,115.2,314373.333333333,474.333333333333,2.20807463333333,3.79461538461538,8.2,10.15359,0.14,140.112666666667
