DATE,Median_Sale_Price_House,Personal_Income_Per_Capita,Property_Tax,Nasdaqcom,Construction_Employment_Cost,Population,New_House_Units_Construction,CPI,Mortage_Rate,Unemployment_Rate,Household_Debt_Payment,Recession_Rate,S&PCase_Schiller_Index
2000-01-01,165300,29891,4911,4427.87349206349,84.2,281304.333333333,992.333333333333,2.41474826666667,8.25692307692308,4.03333333333333,11.581284,0.1,101.339
2000-04-01,163200,30318,4821,3747.21857142857,84.4,282002,985.333333333333,2.57123876666667,8.31615384615385,3.93333333333333,11.726934,0.29,103.674666666667
2000-07-01,168800,30809,4803,3933.18841269841,84.7,282768.666666667,975,2.8393939,8.02,4,11.882996,0.93,105.786666666667
2000-10-01,172900,31093,4857,3026.41285714286,84.9,283518.666666667,970.333333333333,2.9321634,7.62076923076923,3.9,12.071449,5.8,108.274666666667
2001-01-01,169800,31585,4984,2355.52516129032,85.1,284168.666666667,991.333333333333,2.95005363333333,7.00692307692308,4.23333333333333,12.174616,22.37,110.485
2001-04-01,179000,31640,5067,2079.62698412698,86.1,284837.333333333,1011.66666666667,3.1323022,7.13,4.4,12.385827,33.4,112.204
2001-07-01,172500,31504,5106,1876.21338983051,86.8,285583.333333333,1014,3.29385776666667,6.96384615384615,4.83333333333333,12.329243,31.14,114.156666666667
2001-10-01,171100,31391,5103,1826.92765625,87.4,286311.333333333,1005,3.56038916666667,6.77076923076923,5.5,12.682022,16.83,115.874
2002-01-01,188700,31480,5056,1882.79516666667,88,286935,1004.66666666667,3.52912216666667,6.97153846153846,5.7,12.455852,2.05,117.892
2002-04-01,187200,31755,5082,1645.785,88.5,287574,1017.66666666667,3.39732956666667,6.81307692307692,5.83333333333333,12.362242,0.33,120.716
2002-07-01,178100,31830,5181,1309.95609375,89.2,288302.666666667,1022,3.15612013333333,6.28923076923077,5.73333333333333,12.373874,0.54,123.832666666667
2002-10-01,190100,32037,5354,1341.83109375,90.1,289006.666666667,1030,2.86125436666667,6.07538461538462,5.86666666666667,12.340791,0.61,126.676333333333
2003-01-01,186000,32135,5599,1351.6606557377,90.9,289609,1045.66666666667,2.70666656666667,5.84076923076923,5.86666666666667,12.358401,0.81,129.321333333333
2003-04-01,191800,32416,5757,1521.92158730159,92.2,290252.666666667,1051.33333333333,2.3597466,5.50692307692308,6.13333333333333,12.299499,0.33,131.756
2003-07-01,191900,32778,5828,1765.19890625,93,290974,1100.33333333333,2.1956631,6.03384615384615,6.13333333333333,12.144342,0.07,135.013333333333
2003-10-01,198800,33168,5813,1934.07765625,93.5,291669.333333333,1158.66666666667,2.05797313333333,5.91928571428571,5.83333333333333,12.215487,0.08,138.834666666667
2004-01-01,212700,33435,5710,2038.8214516129,94.5,292236.666666667,1202.33333333333,2.04864023333333,5.5975,5.7,12.218837,0.07,143.299
2004-04-01,217600,33921,5676,1985.00209677419,95.4,292875.333333333,1228,2.2917045,6.10615384615385,5.6,12.156748,0.33,148.209666666667
2004-07-01,213500,34311,5709,1872.0953125,96.5,293603.333333333,1244,2.25392753333333,5.89428571428571,5.43333333333333,12.272221,0.07,152.716666666667
2004-10-01,228800,34939,5811,2051.76984375,96.7,294334,1270.66666666667,2.28410613333333,5.73615384615385,5.43333333333333,12.276606,0.06,157.535666666667
